geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,strand,left,right,GeneName,name,location
ENSG00000169972,245.398,0.283,0.08,3.526,0,0.003,1,+,1243946,1247057,PUSL1,pseudouridylate synthase-like 1 [Source:HGNC Symbol;Acc:HGNC:26914],1:1243946-1247057
ENSG00000127054,1273.444,0.152,0.052,2.944,0.003,0.016,1,-,1246964,1250813,CPSF3L,cleavage and polyadenylation specific factor 3-like [Source:HGNC Symbol;Acc:HGNC:26052],1:1246964-1250813
ENSG00000240731,49.348,0.363,0.117,3.096,0.002,0.01,1,-,1252960,1254069,RP5-890O3.9,,1:1252960-1254069
ENSG00000224051,388.857,-0.317,0.076,-4.141,0,0,1,+,1260135,1263374,CPTP,ceramide-1-phosphate transfer protein [Source:HGNC Symbol;Acc:HGNC:28116],1:1260135-1263374
ENSG00000169962,23.092,-0.404,0.154,-2.616,0.009,0.037,1,+,1266693,1270686,TAS1R3,taste 1 receptor member 3 [Source:HGNC Symbol;Acc:HGNC:15661],1:1266693-1270686
ENSG00000107404,693.472,-0.17,0.049,-3.436,0.001,0.003,1,-,1270655,1284492,DVL1,dishevelled segment polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:3084],1:1270655-1284492
ENSG00000162576,922.06,-0.298,0.061,-4.899,0,0,1,-,1288068,1289644,MXRA8,matrix-remodelling associated 8 [Source:HGNC Symbol;Acc:HGNC:7542],1:1288068-1289644
ENSG00000175756,604.533,-0.126,0.081,-1.561,0.118,0.292,1,-,1309109,1310537,AURKAIP1,aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24114],1:1309109-1310537
ENSG00000221978,1850.194,-0.046,0.063,-0.725,0.469,0.696,1,-,1321090,1326476,CCNL2,cyclin L2 [Source:HGNC Symbol;Acc:HGNC:20570],1:1321090-1326476
ENSG00000224870,272.036,-0.053,0.069,-0.764,0.445,0.677,1,+,1334901,1336467,RP4-758J18.2,,1:1334901-1336467
ENSG00000242485,401.775,-0.074,0.082,-0.9,0.368,0.608,1,-,1337287,1342693,MRPL20,mitochondrial ribosomal protein L20 [Source:HGNC Symbol;Acc:HGNC:14478],1:1337287-1342693
ENSG00000272455,76.318,-0.054,0.106,-0.513,0.608,0.796,1,+,1344475,1345998,RP4-758J18.13,,1:1344475-1345998
ENSG00000235098,6.8,-0.511,0.231,-2.216,0.027,0.094,1,-,1353799,1356824,ANKRD65,ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950],1:1353799-1356824
ENSG00000225905,0.724,-0.215,0.228,-0.942,0.346,NA,1,+,1355624,1358071,RP4-758J18.7,,1:1355624-1358071
ENSG00000225285,16.262,-0.466,0.174,-2.68,0.007,0.032,1,-,1365918,1369953,RP4-758J18.10,,1:1365918-1369953
ENSG00000179403,1042.999,-0.201,0.071,-2.84,0.005,0.021,1,+,1370240,1372839,VWA1,von Willebrand factor A domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30910],1:1370240-1372839
ENSG00000215915,99.908,-0.088,0.094,-0.937,0.349,0.589,1,+,1385068,1405538,ATAD3C,"ATPase family, AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151]",1:1385068-1405538
ENSG00000160072,521.592,0.032,0.089,0.356,0.722,0.865,1,+,1407142,1418486,ATAD3B,"ATPase family, AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]",1:1407142-1418486
ENSG00000197785,373.13,-0.021,0.074,-0.286,0.775,0.895,1,+,1447530,1470065,ATAD3A,"ATPase family, AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]",1:1447530-1470065
ENSG00000205090,5.955,-0.096,0.244,-0.391,0.695,0.85,1,-,1470553,1475737,TMEM240,transmembrane protein 240 [Source:HGNC Symbol;Acc:HGNC:25186],1:1470553-1475737
ENSG00000160075,931.322,-0.083,0.06,-1.386,0.166,0.369,1,-,1477052,1510249,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]",1:1477052-1510249
ENSG00000215014,11.135,-0.14,0.201,-0.696,0.486,0.709,1,+,1510354,1511373,RP5-832C2.5,,1:1510354-1511373
ENSG00000236684,3.274,-0.309,0.261,-1.183,0.237,0.465,1,+,1515135,1515379,NA,NA,1:1515135-1515379
ENSG00000272106,49.437,-0.316,0.114,-2.771,0.006,0.025,1,-,1549137,1551175,RP11-345P4.9,,1:1549137-1551175
ENSG00000197530,395.732,-0.196,0.071,-2.76,0.006,0.026,1,+,1550794,1565985,MIB2,mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:30577],1:1550794-1565985
