geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,chrom,strand,left,right,GeneName,name,location,,
ENSG00000131584,1189.343,-0.106,0.082,-1.301,0.193,0.408,1,-,1227755,1243398,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3 [Source:HGNC Symbol;Acc:HGNC:16754]",1:1227755-1243398,,
ENSG00000169972,245.398,0.283,0.08,3.526,0,0.003,1,+,1243946,1247057,PUSL1,pseudouridylate synthase-like 1 [Source:HGNC Symbol,Acc:HGNC:26914],1:1243946-1247057,
ENSG00000127054,1273.444,0.152,0.052,2.944,0.003,0.016,1,-,1246964,1250813,CPSF3L,cleavage and polyadenylation specific factor 3-like [Source:HGNC Symbol,Acc:HGNC:26052],1:1246964-1250813,
ENSG00000240731,49.348,0.363,0.117,3.096,0.002,0.01,1,-,1252960,1254069,RP5-890O3.9,,1:1252960-1254069,,
ENSG00000224051,388.857,-0.317,0.076,-4.141,0,0,1,+,1260135,1263374,CPTP,ceramide-1-phosphate transfer protein [Source:HGNC Symbol,Acc:HGNC:28116],1:1260135-1263374,
ENSG00000169962,23.092,-0.404,0.154,-2.616,0.009,0.037,1,+,1266693,1270686,TAS1R3,taste 1 receptor member 3 [Source:HGNC Symbol,Acc:HGNC:15661],1:1266693-1270686,
ENSG00000107404,693.472,-0.17,0.049,-3.436,0.001,0.003,1,-,1270655,1284492,DVL1,dishevelled segment polarity protein 1 [Source:HGNC Symbol,Acc:HGNC:3084],1:1270655-1284492,
ENSG00000162576,922.06,-0.298,0.061,-4.899,0,0,1,-,1288068,1289644,MXRA8,matrix-remodelling associated 8 [Source:HGNC Symbol,Acc:HGNC:7542],1:1288068-1289644,
ENSG00000175756,604.533,-0.126,0.081,-1.561,0.118,0.292,1,-,1309109,1310537,AURKAIP1,aurora kinase A interacting protein 1 [Source:HGNC Symbol,Acc:HGNC:24114],1:1309109-1310537,
ENSG00000221978,1850.194,-0.046,0.063,-0.725,0.469,0.696,1,-,1321090,1326476,CCNL2,cyclin L2 [Source:HGNC Symbol,Acc:HGNC:20570],1:1321090-1326476,
ENSG00000224870,272.036,-0.053,0.069,-0.764,0.445,0.677,1,+,1334901,1336467,RP4-758J18.2,,1:1334901-1336467,,
ENSG00000242485,401.775,-0.074,0.082,-0.9,0.368,0.608,1,-,1337287,1342693,MRPL20,mitochondrial ribosomal protein L20 [Source:HGNC Symbol,Acc:HGNC:14478],1:1337287-1342693,
ENSG00000272455,76.318,-0.054,0.106,-0.513,0.608,0.796,1,+,1344475,1345998,RP4-758J18.13,,1:1344475-1345998,,
ENSG00000235098,6.8,-0.511,0.231,-2.216,0.027,0.094,1,-,1353799,1356824,ANKRD65,ankyrin repeat domain 65 [Source:HGNC Symbol,Acc:HGNC:42950],1:1353799-1356824,
ENSG00000225905,0.724,-0.215,0.228,-0.942,0.346,NA,1,+,1355624,1358071,RP4-758J18.7,,1:1355624-1358071,,
ENSG00000225285,16.262,-0.466,0.174,-2.68,0.007,0.032,1,-,1365918,1369953,RP4-758J18.10,,1:1365918-1369953,,
ENSG00000179403,1042.999,-0.201,0.071,-2.84,0.005,0.021,1,+,1370240,1372839,VWA1,von Willebrand factor A domain containing 1 [Source:HGNC Symbol,Acc:HGNC:30910],1:1370240-1372839,
ENSG00000215915,99.908,-0.088,0.094,-0.937,0.349,0.589,1,+,1385068,1405538,ATAD3C,"ATPase family, AAA domain containing 3C [Source:HGNC Symbol;Acc:HGNC:32151]",1:1385068-1405538,,
ENSG00000160072,521.592,0.032,0.089,0.356,0.722,0.865,1,+,1407142,1418486,ATAD3B,"ATPase family, AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]",1:1407142-1418486,,
ENSG00000197785,373.13,-0.021,0.074,-0.286,0.775,0.895,1,+,1447530,1470065,ATAD3A,"ATPase family, AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]",1:1447530-1470065,,
ENSG00000205090,5.955,-0.096,0.244,-0.391,0.695,0.85,1,-,1470553,1475737,TMEM240,transmembrane protein 240 [Source:HGNC Symbol,Acc:HGNC:25186],1:1470553-1475737,
ENSG00000160075,931.322,-0.083,0.06,-1.386,0.166,0.369,1,-,1477052,1510249,SSU72,"SSU72 homolog, RNA polymerase II CTD phosphatase [Source:HGNC Symbol;Acc:HGNC:25016]",1:1477052-1510249,,
ENSG00000215014,11.135,-0.14,0.201,-0.696,0.486,0.709,1,+,1510354,1511373,RP5-832C2.5,,1:1510354-1511373,,
ENSG00000236684,3.274,-0.309,0.261,-1.183,0.237,0.465,1,+,1515135,1515379,NA,NA,1:1515135-1515379,,
ENSG00000272106,49.437,-0.316,0.114,-2.771,0.006,0.025,1,-,1549137,1551175,RP11-345P4.9,,1:1549137-1551175,,
ENSG00000197530,395.732,-0.196,0.071,-2.76,0.006,0.026,1,+,1550794,1565985,MIB2,mindbomb E3 ubiquitin protein ligase 2 [Source:HGNC Symbol,Acc:HGNC:30577],1:1550794-1565985,
ENSG00000189409,14.086,-0.135,0.192,-0.701,0.483,0.707,1,+,1567473,1570030,MMP23B,matrix metallopeptidase 23B [Source:HGNC Symbol,Acc:HGNC:7171],1:1567473-1570030,
ENSG00000248333,560.869,0.082,0.053,1.547,0.122,0.297,1,-,1570602,1580623,CDK11B,cyclin-dependent kinase 11B [Source:HGNC Symbol,Acc:HGNC:1729],1:1570602-1580623,
ENSG00000272004,171.348,0.569,0.088,6.485,0,0,1,+,1590785,1594063,RP11-345P4.10,,1:1590785-1594063,,
ENSG00000189339,2075.506,0.741,0.047,15.619,0,0,1,-,1592938,1624083,SLC35E2B,solute carrier family 35 member E2B [Source:HGNC Symbol,Acc:HGNC:33941],1:1592938-1624083,
ENSG00000269737,22.237,0.715,0.172,4.148,0,0,1,+,1603428,1604850,RP11-345P4.7,,1:1603428-1604850,,
ENSG00000269227,5.859,0.667,0.243,2.747,0.006,0.027,1,+,1604713,1605836,RP11-345P4.6,,1:1604713-1605836,,
ENSG00000215914,5.571,-0.548,0.242,-2.263,0.024,0.085,1,+,1631368,1633249,MMP23A,matrix metallopeptidase 23A (pseudogene) [Source:HGNC Symbol,Acc:HGNC:7170],1:1631368-1633249,
ENSG00000008128,68.956,0.144,0.121,1.19,0.234,0.461,1,-,1634168,1654270,CDK11A,cyclin-dependent kinase 11A [Source:HGNC Symbol,Acc:HGNC:1730],1:1634168-1654270,
ENSG00000268575,67.075,0.06,0.111,0.536,0.592,0.784,1,-,1634174,1669127,RP1-283E3.8,,1:1634174-1669127,,
ENSG00000227775,236.637,0.62,0.071,8.744,0,0,1,+,1655950,1667412,RP1-283E3.4,,1:1655950-1667412,,
ENSG00000215790,157.655,0.535,0.106,5.065,0,0,1,-,1656276,1677358,SLC35E2,solute carrier family 35 member E2 [Source:HGNC Symbol,Acc:HGNC:20863],1:1656276-1677358,
ENSG00000008130,806.464,-0.02,0.039,-0.511,0.609,0.797,1,-,1682670,1709909,NADK,NAD kinase [Source:HGNC Symbol,Acc:HGNC:29831],1:1682670-1709909,
ENSG00000078369,3257.65,0.082,0.031,2.655,0.008,0.034,1,-,1716728,1822495,GNB1,"guanine nucleotide binding protein (G protein), beta polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:4396]",1:1716728-1822495,,
ENSG00000231050,4.136,0.057,0.259,0.221,0.825,0.923,1,+,1822909,1824097,RP1-140A9.1,,1:1822909-1824097,,
ENSG00000169885,10.468,-0.126,0.208,-0.607,0.544,0.751,1,+,1846265,1848733,CALML6,calmodulin like 6 [Source:HGNC Symbol,Acc:HGNC:24193],1:1846265-1848733,
ENSG00000178821,16.19,-0.415,0.177,-2.347,0.019,0.071,1,-,1849028,1850236,TMEM52,transmembrane protein 52 [Source:HGNC Symbol,Acc:HGNC:27916],1:1849028-1850236,
ENSG00000142609,28.938,-0.302,0.145,-2.085,0.037,0.122,1,-,1853395,1859368,CFAP74,cilia and flagella associated protein 74 [Source:HGNC Symbol,Acc:HGNC:29368],1:1853395-1859368,
ENSG00000233542,4.131,0.096,0.254,0.377,0.706,0.856,1,-,1944651,1946969,RP11-547D24.1,,1:1944651-1946969,,
ENSG00000187730,9.981,-0.359,0.203,-1.769,0.077,0.213,1,+,1950779,1962192,GABRD,"gamma-aminobutyric acid (GABA) A receptor, delta [Source:HGNC Symbol;Acc:HGNC:4084]",1:1950779-1962192,,
ENSG00000067606,357.329,-0.296,0.054,-5.493,0,0,1,+,1981908,2116834,PRKCZ,"protein kinase C, zeta [Source:HGNC Symbol;Acc:HGNC:9412]",1:1981908-2116834,,
ENSG00000271806,42.283,0.02,0.124,0.16,0.873,0.945,1,-,2072522,2076718,RP5-892K4.1,,1:2072522-2076718,,
ENSG00000182873,42.692,-0.346,0.133,-2.6,0.009,0.039,1,-,2113232,2115314,RP11-181G12.2,,1:2113232-2115314,,
ENSG00000162585,360.096,-0.172,0.074,-2.34,0.019,0.072,1,-,2115902,2139172,FAAP20,Fanconi anemia core complex associated protein 20 [Source:HGNC Symbol,Acc:HGNC:26428],1:2115902-2139172,
ENSG00000269554,53.293,-0.34,0.122,-2.798,0.005,0.023,1,+,2121236,2123179,NA,NA,1:2121236-2123179,,
ENSG00000203301,6.994,-0.363,0.236,-1.537,0.124,0.301,1,-,2143359,2145620,NA,NA,1:2143359-2145620,,
ENSG00000157933,487.474,0.134,0.054,2.493,0.013,0.051,1,+,2160133,2241558,SKI,SKI proto-oncogene [Source:HGNC Symbol,Acc:HGNC:10896],1:2160133-2241558,
ENSG00000116151,93.933,0.004,0.084,0.048,0.962,0.984,1,-,2252691,2323146,MORN1,MORN repeat containing 1 [Source:HGNC Symbol,Acc:HGNC:25852],1:2252691-2323146,
ENSG00000269896,27.588,-0.248,0.141,-1.757,0.079,0.217,1,-,2281852,2284259,RP4-740C4.5,,1:2281852-2284259,,
ENSG00000272420,4.212,-0.398,0.256,-1.558,0.119,0.293,1,-,2294499,2295067,RP4-740C4.7,,1:2294499-2295067,,
ENSG00000271921,1.387,0.394,0.256,1.54,0.124,NA,1,-,2306291,2306792,NA,NA,1:2306291-2306792,,
ENSG00000271847,1.456,-0.242,0.254,-0.953,0.34,NA,1,-,2309055,2309799,NA,NA,1:2309055-2309799,,
ENSG00000178642,40.086,-0.022,0.132,-0.168,0.866,0.943,1,+,2316810,2319922,NA,NA,1:2316810-2319922,,
ENSG00000157916,1073.378,-0.029,0.04,-0.729,0.466,0.694,1,+,2323266,2333764,RER1,retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol,Acc:HGNC:30309],1:2323266-2333764,
ENSG00000157911,307.535,0.011,0.058,0.186,0.853,0.937,1,-,2336235,2343969,PEX10,peroxisomal biogenesis factor 10 [Source:HGNC Symbol,Acc:HGNC:8851],1:2336235-2343969,
ENSG00000149527,2.855,-0.218,0.265,-0.82,0.412,0.648,1,+,2357418,2411243,PLCH2,phospholipase C eta 2 [Source:HGNC Symbol,Acc:HGNC:29037],1:2357418-2411243,
ENSG00000157881,170.042,-0.065,0.071,-0.912,0.362,0.602,1,-,2439971,2458039,PANK4,pantothenate kinase 4 [Source:HGNC Symbol,Acc:HGNC:19366],1:2439971-2458039,
ENSG00000272449,8.229,-0.188,0.224,-0.839,0.402,0.639,1,+,2477903,2478899,RP3-395M20.12,,1:2477903-2478899,,
ENSG00000238164,12.002,-0.232,0.197,-1.178,0.239,0.467,1,-,2481358,2483545,RP3-395M20.8,,1:2481358-2483545,,
ENSG00000157873,87.39,-0.492,0.089,-5.504,0,0,1,+,2487077,2492153,TNFRSF14,tumor necrosis factor receptor superfamily member 14 [Source:HGNC Symbol,Acc:HGNC:11912],1:2487077-2492153,
ENSG00000157870,267.824,-0.129,0.056,-2.314,0.021,0.076,1,+,2517929,2521071,FAM213B,family with sequence similarity 213 member B [Source:HGNC Symbol,Acc:HGNC:28390],1:2517929-2521071,
ENSG00000142606,68.015,0.009,0.103,0.086,0.932,0.973,1,-,2522077,2524117,MMEL1,membrane metallo-endopeptidase-like 1 [Source:HGNC Symbol,Acc:HGNC:14668],1:2522077-2524117,
ENSG00000215912,3.231,-0.029,0.263,-0.112,0.911,0.962,1,-,2567414,2571151,TTC34,tetratricopeptide repeat domain 34 [Source:HGNC Symbol,Acc:HGNC:34297],1:2567414-2571151,
ENSG00000142611,4.955,-0.68,0.248,-2.741,0.006,0.027,1,+,2985731,3350906,PRDM16,PR domain containing 16 [Source:HGNC Symbol,Acc:HGNC:14000],1:2985731-3350906,
ENSG00000130762,332.238,-0.379,0.063,-6.014,0,0,1,+,3370989,3397677,ARHGEF16,Rho guanine nucleotide exchange factor 16 [Source:HGNC Symbol,Acc:HGNC:15515],1:3370989-3397677,
ENSG00000162591,271.198,-0.155,0.08,-1.942,0.052,0.16,1,-,3406483,3448012,MEGF6,multiple EGF-like-domains 6 [Source:HGNC Symbol,Acc:HGNC:3232],1:3406483-3448012,
ENSG00000238260,3.976,-0.348,0.262,-1.329,0.184,0.395,1,-,3539753,3541307,RP11-46F15.2,,1:3539753-3541307,,
ENSG00000158109,542.58,-0.096,0.042,-2.316,0.021,0.076,1,+,3541565,3546691,TPRG1L,tumor protein p63 regulated 1-like [Source:HGNC Symbol,Acc:HGNC:27007],1:3541565-3546691,
ENSG00000116213,296.69,-0.15,0.062,-2.417,0.016,0.06,1,-,3547330,3566622,WRAP73,"WD repeat containing, antisense to TP73 [Source:HGNC Symbol;Acc:HGNC:12759]",1:3547330-3566622,,
ENSG00000078900,180.808,-1.024,0.065,-15.819,0,0,1,+,3569083,3652765,TP73,tumor protein p73 [Source:HGNC Symbol,Acc:HGNC:12003],1:3569083-3652765,
ENSG00000227372,272.299,-0.067,0.06,-1.12,0.263,0.497,1,-,3652547,3663340,TP73-AS1,TP73 antisense RNA 1 [Source:HGNC Symbol,Acc:HGNC:29052],1:3652547-3663340,
ENSG00000235169,16.72,-0.704,0.177,-3.97,0,0.001,1,+,3689351,3692546,SMIM1,small integral membrane protein 1 (Vel blood group) [Source:HGNC Symbol,Acc:HGNC:44204],1:3689351-3692546,
ENSG00000130764,507.355,0.003,0.05,0.069,0.945,0.978,1,-,3696783,3713068,LRRC47,leucine rich repeat containing 47 [Source:HGNC Symbol,Acc:HGNC:29207],1:3696783-3713068,
ENSG00000266075,0.867,0.12,0.229,0.523,0.601,NA,1,+,3699378,3699673,RN7SL574P,"RNA, 7SL, cytoplasmic 574, pseudogene [Source:HGNC Symbol;Acc:HGNC:46590]",1:3699378-3699673,,
ENSG00000272153,36.594,-0.081,0.131,-0.615,0.538,0.748,1,+,3701571,3702102,RP1-286D6.5,,1:3701571-3702102,,
ENSG00000116198,364.679,-0.034,0.053,-0.649,0.516,0.732,1,-,3728644,3773763,CEP104,centrosomal protein 104kDa [Source:HGNC Symbol,Acc:HGNC:24866],1:3728644-3773763,
ENSG00000169598,57.193,-0.231,0.131,-1.754,0.079,0.218,1,+,3773844,3801993,DFFB,"DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase) [Source:HGNC Symbol;Acc:HGNC:2773]",1:3773844-3801993,,
ENSG00000198912,174.572,0.07,0.067,1.035,0.3,0.54,1,-,3805688,3816811,C1orf174,chromosome 1 open reading frame 174 [Source:HGNC Symbol,Acc:HGNC:27915],1:3805688-3816811,
